Brand,Bike Name,Model Year,Price,Location,Owners,Kilometers Run,Listing Type
Hero,Splendor Plus i3s Black and Accent,2025,"90,000","Hyderabad, Telangana",1.0,5800.0,Basic
Triumph,Scrambler 400 XC,2025,"3,00,000","Chennai, Tamil Nadu",1.0,3500.0,Basic
Suzuki,Avenis 125 Standard Edition,2023,"70,000","Koramangala, Bangalore, Karnataka",1.0,25000.0,Basic
Ola,S1 Pro,2023,"60,000","Dahisar, Mumbai, Maharashtra",1.0,53000.0,Basic
TVS,Apache RTR 160 4V,,"37,500","Periyakulam, Theni, Tamil Nadu",1.0,21000.0,Basic
Bajaj,Discover 100T,2013,"10,000","Chennai, Tamil Nadu",1.0,35500.0,Basic
Jawa,Jawa BS6,2021,"1,80,000","Bangalore, Karnataka",1.0,43000.0,Basic
Hero,Destini 125 ZX,2025,,"Bellary, Karnataka Finance Available View More Details",1.0,1750.0,Basic
UM,Renegade Commando,2017,"70,000","Indore, Madhya Pradesh",1.0,15000.0,Basic
Triumph,Scrambler 400 X,2025,"2,75,000","Navi Mumbai, Maharashtra",1.0,3500.0,Basic
Royal Enfield,Himalayan 450,2023,"2,75,000","Vadodara, Gujarat",1.0,18000.0,Basic
Royal Enfield,Classic 350,2012,"75,000","Sholinganallur, Chennai, Tamil Nadu",1.0,10000.0,Basic
TVS,NTORQ 125 Race XP,2022,"70,000","Sankrail, Howrah, West Bengal",1.0,40000.0,Basic
KTM,RC 200,2016,"85,000","Hassan, Karnataka",2.0,45000.0,Basic
Bajaj,Pulsar 220F,2016,"38,000","Ahmedabad, Gujarat",1.0,68000.0,Basic
Hero,Karizma XMR,2023,"1,80,000","Cuddalore, Tamil Nadu",1.0,3450.0,Basic
Ola,S1 Pro Gen2,2024,"80,000","Bhuj, Kachchh, Gujarat",1.0,30700.0,Basic
Ola,S1,2022,"60,000","Anna Nagar, Chennai, Tamil Nadu",1.0,52000.0,Basic
Yamaha,Fazer,2014,"30,000","Kanjhawala, North West Delhi, Delhi",2.0,30000.0,Basic
TVS,NTORQ Super Squad Edition,2024,"88,000","Chennai, Tamil Nadu",1.0,17480.0,Premium
Royal Enfield,Himalayan,2025,"3,50,000","Madurai, Tamil Nadu",1.0,9250.0,Premium
TVS,Sport,2020,"25,000","Sikandrabad, Bulandshahr, Uttar Pradesh",1.0,49580.0,Premium
TVS,Apache RTR 180,2018,"50,000",Karnataka,1.0,61600.0,Premium
Honda,CB300R,2024,"2,50,000","Yelahanka, Bangalore, Karnataka",1.0,15300.0,Premium
Honda,Hornet 2.0,2021,"60,000","Chinsurah, Hooghly, West Bengal",1.0,70000.0,Premium
Bajaj,Pulsar 220F 2025,2025,"1,50,000","Chiplun, Ratnagiri, Maharashtra",1.0,23000.0,Premium
SK,Bikes- Saathi Plus,2025,"99,000","Vasai-Virar, Palghar, Maharashtra",1.0,47.0,Premium
TVS,Apache RTR 180,2017,"55,000","Pune, Maharashtra",1.0,26000.0,Premium
Hero,Xtreme 125R,2024,"80,000","Bhilwara, Rajasthan",1.0,10000.0,Premium
Harley,Davidson X440 S,2024,"2,70,000","Chhatrapati Sambhajinagar, Maharashtra",1.0,7000.0,Premium
KTM,Duke 125,2020,"1,15,000","Vadodara, Gujarat",1.0,11140.0,Premium
TVS,Apache RTR 160 4V,2018,"55,000","Thanjavur, Tamil Nadu",1.0,44500.0,Premium
Honda,CB Unicorn 160,2017,"40,000","Electronic City, Bangalore, Karnataka",1.0,90500.0,Premium
Royal Enfield,Goan Classic 350,2025,"2,45,000",Telangana,1.0,9900.0,Premium
Royal Enfield,Classic 350 BS VI,2021,"2,05,000","Jalandhar, Punjab",1.0,5000.0,Premium
TVS,Apache RTR 160 4V,2019,"76,000","Hyderabad, Telangana",1.0,22000.0,Premium
Harley,Davidson Dyna FXDB Street Bob,2012,"5,95,000","Nagpur, Maharashtra",2.0,25000.0,Premium
Suzuki,Access 125,2015,"12,000","Amberpet, Hyderabad, Telangana",1.0,31450.0,Premium
Royal Enfield,Classic 350 2024,2024,"2,20,000","Moonak, Sangrur, Punjab",1.0,6000.0,Premium
Yamaha,FZS 25,2017,"70,000","Erode, Tamil Nadu",1.0,48000.0,Basic
Royal Enfield,Bullet Chrome emeralds green,2026,"2,40,000","Kalyan, Thane, Maharashtra",1.0,2800.0,Basic
Honda,CB350 DLX Pro,2024,"2,00,000","Pondicherry, Pondicherry",1.0,8930.0,Basic
Yamaha,FZ25,2018,"60,000","Ahmedabad, Gujarat",1.0,42000.0,Basic
Honda,Activa,2013,"20,000","Ahmedabad, Gujarat",1.0,70000.0,Basic
Honda,Hness Anniversary Edition,2022,"1,88,000","Hosur, Tamil Nadu",1.0,14330.0,Basic
Suzuki,Samurai,1999,"75,000","Jhansi, Uttar Pradesh",1.0,22000.0,Basic
Honda,CB350C DLX Pro Special Edition,2022,"1,30,000","Preet Vihar, East Delhi, Delhi",1.0,25000.0,Basic
Royal Enfield,Classic Stealth Black,2020,"1,50,000","Greater Noida, Gautam Buddha Nagar, Uttar Pradesh",1.0,43000.0,Basic
Yamaha,FZ-S,2013,"30,000","Jamnagar, Gujarat",1.0,35000.0,Basic
Honda,Activa,2014,"39,000","Pimpri-Chinchwad, Pune, Maharashtra",1.0,47000.0,Basic
Benling,Falcon Lithium Ion,2022,"15,000","Vadodara, Gujarat",1.0,,Basic
Hero,Karizma XMR 2025,2025,"1,00,000","Gurgaon, Haryana",1.0,9000.0,Basic
Bajaj,Pulsar N160,2023,,"Alwar, Rajasthan Finance Available View More Details",1.0,13000.0,Basic
Suzuki,Access 125,2009,"14,000","Sholinganallur, Chennai, Tamil Nadu",2.0,11321.0,Basic
Honda,Unicorn 160 BS6,2020,"72,000","Chinnamanur, Theni, Tamil Nadu",1.0,26500.0,Basic
Hero,Glamour BS6,2022,"50,000","Purnia, Bihar",1.0,55000.0,Basic
Hero,Splendor Plus XTEC 2.0,2026,"95,000","Jogeshwari, Mumbai, Maharashtra",1.0,200.0,Basic
